Battery Park,Manhattan,13.450192884956634
Battery Park City,Manhattan,13.05980852181136
Bloomingdale,Manhattan,15.013935273716351
Central Harlem,Manhattan,14.160271169023412
Gramercy,Manhattan,13.986760900546747
Greenwich Village North,Manhattan,14.963434245872879
Greenwich Village South,Manhattan,14.390247468242475
Hudson Sq,Manhattan,13.427958075033647
Little Italy/NoLiTa,Manhattan,14.003689691996842
Manhattan Valley,Manhattan,14.299796790099295
Meatpacking/West Village West,Manhattan,13.6034007908574
Morningside Heights,Manhattan,15.084738625550562
SoHo,Manhattan,14.85360849988197
Stuy Town/Peter Cooper Village,Manhattan,13.792254090640863
TriBeCa/Civic Center,Manhattan,13.262361665321551
Union Sq,Manhattan,13.393311700933264
Upper West Side North,Manhattan,14.127315299053434
Upper West Side South,Manhattan,13.05604607443123
West Chelsea/Hudson Yards,Manhattan,13.37721568382141
West Village,Manhattan,13.533193575717691
